城市名稱,Start,高溫
東京,2023-07-23T00:00:00+08:00,33
大阪,2023-07-23T00:00:00+08:00,33
首爾,2023-07-23T00:00:00+08:00,26
曼谷,2023-07-23T00:00:00+08:00,33
雅加達,2023-07-23T00:00:00+08:00,33
吉隆坡,2023-07-23T00:00:00+08:00,34
新加坡,2023-07-23T00:00:00+08:00,31
馬尼拉,2023-07-23T00:00:00+08:00,31
胡志明市,2023-07-23T00:00:00+08:00,28
河內,2023-07-23T00:00:00+08:00,32
海參威,2023-07-23T00:00:00+08:00,22
伯力,2023-07-23T00:00:00+08:00,25
關島,2023-07-23T00:00:00+08:00,31
檀香山,2023-07-23T00:00:00+08:00,31
威靈頓,2023-07-23T00:00:00+08:00,13
奧克蘭,2023-07-23T00:00:00+08:00,14
雪梨機場,2023-07-23T00:00:00+08:00,18
伯斯,2023-07-23T00:00:00+08:00,20
布里斯班,2023-07-23T00:00:00+08:00,19
瀋陽,2023-07-23T00:00:00+08:00,28
青島,2023-07-23T00:00:00+08:00,30
北京,2023-07-23T00:00:00+08:00,34
南京,2023-07-23T00:00:00+08:00,33
開封,2023-07-23T00:00:00+08:00,41
蘭州,2023-07-23T00:00:00+08:00,31
武漢,2023-07-23T00:00:00+08:00,35
重慶,2023-07-23T00:00:00+08:00,38
昆明,2023-07-23T00:00:00+08:00,24
上海,2023-07-23T00:00:00+08:00,33
南昌,2023-07-23T00:00:00+08:00,30
杭州,2023-07-23T00:00:00+08:00,34
廣州,2023-07-23T00:00:00+08:00,36
福州,2023-07-23T00:00:00+08:00,30
香港,2023-07-23T00:00:00+08:00,33
海口,2023-07-23T00:00:00+08:00,32
西安,2023-07-23T00:00:00+08:00,39
墨爾本,2023-07-23T00:00:00+08:00,15
雪梨,2023-07-23T00:00:00+08:00,17
洛杉磯,2023-07-23T00:00:00+08:00,23
拉斯維加斯,2023-07-23T00:00:00+08:00,43
舊金山,2023-07-23T00:00:00+08:00,19
西雅圖,2023-07-23T00:00:00+08:00,28
紐約,2023-07-23T00:00:00+08:00,29
華盛頓,2023-07-23T00:00:00+08:00,31
芝加哥,2023-07-23T00:00:00+08:00,29
邁阿密,2023-07-23T00:00:00+08:00,36
多倫多,2023-07-23T00:00:00+08:00,25
溫哥華,2023-07-23T00:00:00+08:00,23
蒙特婁,2023-07-23T00:00:00+08:00,28
墨西哥城,2023-07-23T00:00:00+08:00,24
里約,2023-07-23T00:00:00+08:00,27
聖地牙哥,2023-07-23T00:00:00+08:00,11
利瑪,2023-07-23T00:00:00+08:00,21
布宜諾斯艾利斯,2023-07-23T00:00:00+08:00,17
奧斯陸,2023-07-23T00:00:00+08:00,19
馬德里,2023-07-23T00:00:00+08:00,36
哥本哈根,2023-07-23T00:00:00+08:00,18
赫爾辛基,2023-07-23T00:00:00+08:00,20
法蘭克福,2023-07-23T00:00:00+08:00,23
柏林,2023-07-23T00:00:00+08:00,27
日內瓦,2023-07-23T00:00:00+08:00,30
布魯塞爾,2023-07-23T00:00:00+08:00,21
倫敦,2023-07-23T00:00:00+08:00,24
巴黎,2023-07-23T00:00:00+08:00,23
維也納,2023-07-23T00:00:00+08:00,34
羅馬,2023-07-23T00:00:00+08:00,33
威尼斯,2023-07-23T00:00:00+08:00,29
布達佩斯,2023-07-23T00:00:00+08:00,30
雅典,2023-07-23T00:00:00+08:00,38
華沙,2023-07-23T00:00:00+08:00,26
布拉格,2023-07-23T00:00:00+08:00,30
阿姆斯特丹,2023-07-23T00:00:00+08:00,21
斯德哥爾摩,2023-07-23T00:00:00+08:00,23
里斯本,2023-07-23T00:00:00+08:00,26
開羅,2023-07-23T00:00:00+08:00,39
約翰尼斯堡,2023-07-23T00:00:00+08:00,19
加德滿都,2023-07-23T00:00:00+08:00,25
新德里,2023-07-23T00:00:00+08:00,35
伊斯坦布爾,2023-07-23T00:00:00+08:00,33
莫斯科,2023-07-23T00:00:00+08:00,19
